Line Item,Category,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3
Revenue,Income Statement,4200000,4350000,4580000,4720000,5100000,5280000,5540000,5850000
Cost of Revenue,Income Statement,1680000,1740000,1832000,1888000,2040000,2059200,2160600,2281500
Gross Profit,Income Statement,2520000,2610000,2748000,2832000,3060000,3220800,3379400,3568500
Operating Expenses,Income Statement,1260000,1305000,1374000,1416000,1530000,1548000,1662000,1755000
Research and Development,Income Statement,420000,435000,458000,472000,510000,528000,554000,585000
Sales and Marketing,Income Statement,504000,522000,549600,566400,612000,580800,608400,643500
General and Administrative,Income Statement,336000,348000,366400,377600,408000,439200,499600,526500
Operating Income,Income Statement,1260000,1305000,1374000,1416000,1530000,1672800,1717400,1813500
Interest Expense,Income Statement,84000,87000,91600,94400,102000,105600,110800,117000
Income Tax,Income Statement,294000,304500,320600,330400,357000,391800,401650,424125
Net Income,Income Statement,882000,913500,961800,991200,1071000,1175400,1204950,1272375
EBITDA,Income Statement,1470000,1522500,1603000,1652000,1785000,1936800,1993400,2103500
Cash and Cash Equivalents,Balance Sheet,2100000,2250000,2450000,2600000,2950000,3100000,3350000,3650000
Accounts Receivable,Balance Sheet,630000,652500,687000,708000,765000,792000,831000,877500
Inventory,Balance Sheet,420000,435000,458000,472000,510000,528000,554000,585000
Total Current Assets,Balance Sheet,3150000,3337500,3595000,3780000,4225000,4420000,4735000,5112500
Property and Equipment,Balance Sheet,2100000,2100000,2200000,2200000,2300000,2400000,2500000,2600000
Total Assets,Balance Sheet,5250000,5437500,5795000,5980000,6525000,6820000,7235000,7712500
Accounts Payable,Balance Sheet,504000,522000,549600,566400,612000,633600,664800,702000
Current Liabilities,Balance Sheet,1050000,1087500,1145000,1180000,1275000,1320000,1385000,1462500
Long Term Debt,Balance Sheet,1575000,1575000,1500000,1500000,1400000,1350000,1300000,1250000
Total Liabilities,Balance Sheet,2625000,2662500,2645000,2680000,2675000,2670000,2685000,2712500
Total Equity,Balance Sheet,2625000,2775000,3150000,3300000,3850000,4150000,4550000,5000000
Total Shareholders Equity,Balance Sheet,2625000,2775000,3150000,3300000,3850000,4150000,4550000,5000000
Operating Cash Flow,Cash Flow,1050000,1087500,1145000,1180000,1275000,1372800,1404950,1472375
Capital Expenditures,Cash Flow,-210000,-200000,-300000,-200000,-300000,-300000,-300000,-300000
Free Cash Flow,Cash Flow,840000,887500,845000,980000,975000,1072800,1104950,1172375
